FILM,IMDB,IMDB_norm,IMDB_norm_round,IMDB_user_vote_count
Avengers: Age of Ultron (2015),7.8,3.9,4.0,271107
Cinderella (2015),7.1,3.55,3.5,65709
Ant-Man (2015),7.8,3.9,4.0,103660
The Water Diviner (2015),7.2,3.6,3.5,39373
Shaun the Sheep Movie (2015),7.4,3.7,3.5,12227
Love & Mercy (2015),7.8,3.9,4.0,5367
Far From The Madding Crowd (2015),7.2,3.6,3.5,12129
Leviathan (2014),7.7,3.85,4.0,22521
Unbroken (2014),7.2,3.6,3.5,77518
The Imitation Game (2014),8.1,4.05,4.0,334164
Southpaw (2015),7.8,3.9,4.0,23561
"McFarland, USA (2015)",7.5,3.75,4.0,13769
The Man From U.N.C.L.E. (2015),7.6,3.8,4.0,22104
Selma (2014),7.5,3.75,4.0,45344
Ex Machina (2015),7.7,3.85,4.0,154499
Still Alice (2015),7.5,3.75,4.0,57123
Wild Tales (2014),8.2,4.1,4.0,50285
The End of the Tour (2015),7.9,3.95,4.0,1320
Red Army (2015),7.7,3.85,4.0,2275
When Marnie Was There (2015),7.8,3.9,4.0,4160
The Hunting Ground (2015),7.5,3.75,4.0,1196
Timbuktu (2015),7.2,3.6,3.5,6246
About Elly (2015),8.2,4.1,4.0,20659
The Diary of a Teenage Girl (2015),7.0,3.5,3.5,1107
Kingsman: The Secret Service (2015),7.8,3.9,4.0,272204
Entourage (2015),7.1,3.55,3.5,21914
The Age of Adaline (2015),7.3,3.65,3.5,45510
Birdman (2014),7.9,3.95,4.0,303505
The Gift (2015),7.6,3.8,4.0,10891
Monkey Kingdom (2015),7.3,3.65,3.5,883
Seymour: An Introduction (2015),7.7,3.85,4.0,243
The Wrecking Crew (2015),7.8,3.9,4.0,732
American Sniper (2015),7.4,3.7,3.5,251856
Furious 7 (2015),7.4,3.7,3.5,207211
The Hobbit: The Battle of the Five Armies (2014),7.5,3.75,4.0,289464
Straight Outta Compton (2015),8.4,4.2,4.0,15982
Chappie (2015),7.0,3.5,3.5,125088
Big Eyes (2014),7.0,3.5,3.5,39152
Little Boy (2015),7.4,3.7,3.5,5927
Me and Earl and The Dying Girl (2015),8.2,4.1,4.0,5269
Mad Max: Fury Road (2015),8.3,4.15,4.0,292023
Spy (2015),7.3,3.65,3.5,66636
Paddington (2015),7.2,3.6,3.5,38593
Dope (2015),7.5,3.75,4.0,4911
What We Do in the Shadows (2015),7.6,3.8,4.0,39561
The Salt of the Earth (2015),8.4,4.2,4.0,6605
Song of the Sea (2014),8.2,4.1,4.0,14067
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,3.55,3.5,17237
A Most Violent Year (2014),7.1,3.55,3.5,32166
Testament of Youth (2015),7.3,3.65,3.5,5495
Infinitely Polar Bear (2015),7.2,3.6,3.5,1062
Phoenix (2015),7.2,3.6,3.5,3687
The Wolfpack (2015),7.1,3.55,3.5,1488
The Stanford Prison Experiment (2015),7.1,3.55,3.5,950
Tangerine (2015),7.4,3.7,3.5,696
Woman in Gold (2015),7.4,3.7,3.5,17957
Mission: Impossible â€“ Rogue Nation (2015),7.8,3.9,4.0,82579
Amy (2015),8.0,4.0,4.0,5630
Jurassic World (2015),7.3,3.65,3.5,241807
Max (2015),7.0,3.5,3.5,5444
The Longest Ride (2015),7.2,3.6,3.5,25214
Danny Collins (2015),7.1,3.55,3.5,11206
Spare Parts (2015),7.2,3.6,3.5,47377
Inside Out (2015),8.6,4.3,4.5,96252
Mr. Holmes (2015),7.4,3.7,3.5,7367
'71 (2015),7.2,3.6,3.5,24116
"Two Days, One Night (2014)",7.4,3.7,3.5,24345
Gett: The Trial of Viviane Amsalem (2015),7.8,3.9,4.0,1955
